"Variable","N","Mean","SD","Min","P25","Median","P75","Max"
"AccessToElec",5866,79.7521605385722,29.8886927892511,0.533898532390594,65.525,98.4,100,100
"CO2IntensityGDP",6187,0.244054856264781,0.503212621803074,0,0.0925253274202266,0.163339743440907,0.259926206653095,11.9027606935091
"EnergyUsePerCapita",5121,2240.65187203814,2734.44026958653,0,499.923038960814,1190.03229059907,2848.10100531328,21557.4750763638
"ForestAreaPct",6513,32.6197748888282,24.6893089179456,0,11.0574428274428,31.0252296537528,51.5150407179658,96.2263814616756
"GdpPerCapita",6550,11627.5369220212,21151.9229878982,22.9521327615352,1034.70328233808,3482.54558071925,11974.0404695571,256799.788612806
"LifeExpectancy",6698,68.6567591322782,9.48373598543345,12.158,63.007,70.4580487804878,75.552,86.372
"MaternalMortality",6630,212.638461538462,365.133055469036,1,17,68,269,7597
"PM25Exposure",6045,27.6828347365402,16.5763128024805,4.89518090216668,16.457868827636,23.1748486960907,33.9909775459279,107.144665250434
"ShareRenewableElec",5601,4.0124418529449,9.83197891599258,-71.056856187291,0,0.505461619033368,4.1952347083926,97.2772277227723
"UrbanPopPct",6698,55.1660942177604,23.208400154495,5.27494050180917,35.7463187782984,55.5943969293723,73.5496220808833,100
